구분,질문,답변
월세,"신탁된 부동산 월세계약하려 하는데 등기 좀 봐주시면 감사하겠급니다혹시 특약으로 넣어야될 게 있을까요?,,","신탁등기된 부동산을 임대차계약할려면 신탁원부 검토 또는 신탁회사에 전화를 하여 ""임대차계약서를 누구랑 작성해야 하는지?, 거래대금은 어느 계좌로 입금해야 하는지에 대해서 확인후 진행하시는 것이 바람직합니다."
월세,"24년 7월까지 유효한 월세 계약을 계약기간을 채우지 못하고 이사가게됐습니다. 조건은 보증금 500에 월세 50이였구요.새로운 세입자도 구했습니다.그런데 집주인이 새로운 세입자에게 보증금 600에 월세 60을 요구했고,  제가 구했던 세입자는 해당 조건을 두고 집주인과 논의하다가 결국 포기했습니다.그러고는 집주인이 저에게도 다음 세입자를 600/60 조건으로 구하라고 하고, 구하기 전에는 세입자 구하기 전에는 월세를 내야한다고 하네요.기존 조건으로 다음 세입자를 구하지 못하는 건 저의 잘못이라고는 하지만, 이렇게 조건을 변경하여 세입자를 구하도록 임대인에게 요구할 수 있는 걸까요?","​만기전 퇴거시 임대인은 원하는 조건으로 다음 세입자를 구하라고 요구할 수 있습니다.​통상 그런경우, 기존의 조건으로 세입자를 구하고나머지 차액만큼 손해를 배상하는 식으로 진행합니다.​즉 다음 세입자가 10월에 들어오면, 9월치의 월세차익 10만원을 계산하여90만원 + 중개보수를 임대인에게 지불하고 퇴거하는식으로 합의보시길 바랍니다.​ai로 복붙이 아닌, 직접 질문을 읽고 답변드리고 있습니다."
월세,"부동산 월세 보증금관련 질문입니다.   20xx.xx.xx일 오피스텔 보증금 x00/x00 으로 1년 계약하였습니다.    20xx.x월 경 집주인에게 나갈테니 방을 구해달라 하였고, 같이 거주하던 동생 2명은 다른집으로 이사하였고, 저는 혼자 x월까지 살았습니다.    x월에 방을 뺀다 말한후 월세를 n번 냈고, 현재는 월세를 안내고 있는 상태입니다.    저희 입장은 집주인에게 보증금은 포기할테니 알아서 하라는 입장이고,    집주인은 계약기간이 아직 남았으므로 남은 기간만큼 월세를 그대로 내라는 입장입니다.   오늘 직방과 다방에 저희 방이 제대로 올려져 있는지 확인해 보았습니다.   계약시 부동산(a부동산)에서 매물을 내놨고 이후 집바로옆 부동산(b부동산)에서 매물을 올려놨었습니다.   확인결과 a부동산의 저희집의 매물 글은 삭제 되었고 a부동산에서 내놓은 전체 매물을 봐도 저희집은 찾아볼수도 없었고 b부동산도 몇달전에는 내놓았으나 지금은 저희집의 매물은 등록이 되지 않았습니다.   집주인이 부동산에 매물을 내놓았고 저희는 이를믿고 기다렸는데 직방 다방에 글이 올라와있지않은경우 이를 증거자료를 바탕으로   저희가 손해배상청구나 보증금 반환소송으로 보증금을 되돌려받을수 있는지   아님 집주인이 남은 기간 월세를 받고싶어 임차인인 저희에게 소송을 할경우 반격할수 있는 무기가 될수 있는지 궁금하며 조언해주시면 감사하겠습니다.","​​전세계약이 종료되면 집주인은 세입자에게 보증금 전액을 반환해주어야 할 의무가 있습니다. 전세보증금을 돌려주지 않는 집주인이 “새로운 세입자가 구해지면 보증금을 돌려주겠다.”고 이야기하는 경우가 많은데, 이는 법률상 근거가 없는 주장입니다. 전세만기에도 집주인이 보증금을 돌려주지 않으면 임차권등기명령, 전세보증금반환소송을 진행하셔야 합니다."
월세,"안녕하세요. 부동산 계약하려고 부동산에서 계약금을 걸어야한대서 50을 걸어놨는대 서면으로 작성은 안했거든요 그런대 문자로 이런내용을 보내고 개인정보를 달라해서 보냈는대 효력이있을까요? 계약서는 작성하지않았습니다.아래 월세계약 내용 확인부탁드립니다.-보증금 : 1000만원월세: 60만원-계약금 : 500,000원-계약일 : 23년10월4일 -잔금일 : 23년10월말 미정-계약서작성일 : 이사날위 조건으로 계약을 진행하며, 계약금 금 500,000원을 임대인 계좌로 입금함.이후에는 양쪽 중 일방이 계약서미작성등의 사유로 계약무효를주장 할 수 없습니다.양 당사자 합의 없이 일방적인계약내용 변경은 불가능합니다.임대인의 변심시 계약금 배액배상, 임차인의 변심시 입금하신 계약금을 포기하고본계약 해지가능하며, 이경우라도계약이 성립되었기 때문에 중개수수료는 각각 지불하셔야 합니다-도원공인중개사-","​임대인의 변심시 계약금 배액배상, 임차인의 변심시 입금하신 계약금을 포기하고 본계약 해지가능하며, 이경우라도 계약이 성립되었기 때문에 중개수수료는 각각 지불하셔야 합니다​---> 계약이 파기되면 중개수수료는 1/3 정도만 내면 되지만 그런 정도의 계약내용이라면 극히 정상적인 계약으로 보이므로 당연히 효력이 있는 것이고 전세 사기 방지를 위해서 이런 것들을 체크 해 봐야겠지요.1) 그 집의 전세가율(전세가/시세)이 70%를 밑도는지 확인 할 것. 2) 등기부를 열람하여 등기부 갑구에 압류, 가압류, 가처분 등기 확인할 것.3) 등기부 을구에 과도한 저당권(시세의 30% 이상)이면 피할 것. 4) 계약금이나 잔금, 금전수수는 등기부상 ""소유자""명의의 계좌로 할 것.5) 단독다가구 주택, 법인이 주인인 주택이면 피하고 도시형, 다세대로 계약.6) “계약일~잔금일 익일까지 저당권 권리설정을 금한다”의 특약을 걸 것..7) 잔금일 전까지 세무서, 홈텍스에서 체납 여부를 조회 할 것.8) 신탁물건으로 위탁자와 계약시 반드시 신탁사의 동의나 신탁 말소등기를 할 것"
월세,"안녕하세요  자취하다가 취업이 되어서 타 지역으로 가게 되었는데 처음에 계약할때 6월에 6개월 계약하고 살다가계약기간 12월이 지나고 연락없어서 9개월 가량 살다가 이번에 나오려고 집주인에게 연락드렸습니다그런데 이번 12월까지 자동계약 되었다고 12월까지 살고 나가야한다고, 12월까지 자동으로 계약되었다고 말합니다. (자동계약으로 6개월씩 계약이 되었다면서)12월까지 월세를 계속 내야하는건가요 아니면 한달치 월세를 주고 나온다고 말을 해야하는건가요?  궁금합니다. 1. 집주인은 이어살기 구할수있으면 좋겠다고해서 인터넷에 이어살기 할사람을 구하고있습니다 만약 만기일까지 못구하면 월세를 계속 내야하나요?2. 저는 처음6개월만 계약서를 쓰고 지금까지 계약서를 쓴적이 없고 계약서에 싸인한적도 없는데 이게 맞는건가요?3. 지금 방빼고 청소해두고 빈방인데 만기일까지 계속 월세를 내야하나요?4. 방을 빨리 정리하고싶은데 방을 어떻게 해야할까요?답변부탁드립니다.",현재는 묵시적계약상태이므로 나간다고통보한날로3개월후 자동해지되고그전에나올려면 새로운세입자채우고 나와야합니다두경우모두 수수료지불의무는없습니다
월세,"안녕하세요 이번에 월세 계약하려고하는데계약금은 100만원 입금했는데 집주인, 대리인은 부동산에오지를 않았어요9월 26일 계약인데 중계인 말로는그날 13시에 안올수도 있다고 안오면 영상통화로 얼굴확인하자고 물론 신분증과 대리인 서류는 부동산에서 가져온다고했고요계약금을 돌려받고 싶은데 가능한가요? 좀 위험해 보여서요",문제  없습니다.​월세는 부동산에  위임하는  경우가  많습니다.
월세,아파트 월세 살고있습니다.2년 계약했구요 사정이생겨 이사를 가야되는대현재 8개월 가량 살았습니다1년4개월 남아있는데이럴때는 집주인과 이야기를 해서 계약을 변경할수있나요?1년만 살고 나가려고합니다.아니면 다른방법이 있으면 좀알려주새요,계약변경 해주는 집주인은 아무도 없을것같고  나머지계약 기간만 사는살사람 구하던가 아니면 만료전 이사로 수수료만내고 새세입자를 구하고 이사가면 됩니다
월세,지금 살고있는 집이 월세인데 계약기간이 6개월 남은상태에서 집을 빼려고 하고있습니다그런데 방이 빨리 빠지지않았고 이사가려고 했던 집이 전세집인데 그 집을 중기청 대출로 계약을 한 상태인데 현재 제가 살고있는 월세집이 빠지지않으면 전세집으로 이사를 가면 안되는건가요??그리고 부동산 중개인 말대로라면 아무리 월세집이라고 하더라도 현재 거주하고있다는 모습을 보이지않으면 불이익이 생길수도 있다하여 왠만해서는 월세 계약하려는 사람이 나타나기전까진 나가지말라고 하더라고요 그 이유가 무엇인가요?? 또 하나 더 전입신고를 월세집 전세집 둘다 할수는 없고 또 전입신고를 하지않으면 대항력을 가질수 없다고 하는데 현재 월세집 살고있어도 전세집을 전입신고하고 월세집 빠지기전까지 살고있어도 괜찮을까요?,"부동산 계약에 대한 법적인 상황에 대해서는 전문적인 법률 상담이 필요합니다. 그러나 일반적으로 말씀드리자면, 부동산 계약은 계약서에 명시된 조건에 따라 진행되어야 합니다. 월세 계약에서는 보통 계약 기간 동안 거주가 가능하며, 계약 기간이 남아있는 상태에서는 계약 조건에 따라 집을 빼려고 할 경우 법적인 문제가 발생할 수 있습니다.​전세 집으로 이사를 가려면 현재 거주 중인 월세 집을 빠져나와야 할 수도 있습니다. 그러나 이는 계약 조건과 관련된 문제이므로, 월세 집의 계약 조건과 전세 집의 계약 조건을 확인하고, 이사를 원하는 경우에는 부동산 중개인이나 법률 전문가와 상담하여 적절한 조치를 취하는 것이 좋습니다.​또한, 전입신고에 대해서도 법적인 규정이 존재합니다. 전입신고는 주소지를 변경하는 과정으로, 월세 집과 전세 집 모두에 대해 필요한 절차입니다. 전입신고를 하지 않으면 법적인 문제가 발생할 수 있으므로, 월세 집과 전세 집 모두에 대해 적절한 전입신고 절차를 따르는 것이 좋습니다.​마지막으로, 부동산 중개인의 말씀에 대해서는 법적인 근거를 확인하는 것이 중요합니다."
월세,아파트 월세 임차인입니다.계약 종료일은 내년 1월 15일이고 월세 납일일은 25일입니다.계약종료까지는 4개월이 남은 상태이고 국민임대 예비자로 입주연락을 받고 3개월이라는 시간이 있는 상태로 임대인에게 새로운 임차인을 구하시라고 말씀드렸습니다.현재 보증금 1천만원에 월 60만원에 거주하고 있는데 부동산 거래금액이 월 50만원으로 거래가 형성되고있어 임대인께서는 전세로 내놓으실꺼라고 말씀하셨고 이틀후 전세 계약을 하신 상태입니다.전세 계약후 남은 4개월에 대해 임대인이 손해를 보니 월세 2개월분과 부동산중개수수료를 요구합니다.저는 도의적 차원에서 월세 60만원과 현재 거래가격의 차액으로 월 15만원에 남은 4개월을 곱한 금액과 중계수수료를 부담할 의사가 있다고 말씀을 드렸는데 노발대발 이시네요.새로운 임차인분이 26일에 이사오신다고 하셔서 24일경에 이사가려고 생각하고 있었는데 새로운 임차인이 23일과 24일에 입주 청소를 하셔야한다고 이전에 이사를 해달라고하는데 저는 손없는날에 이사할꺼라고 말씀드렸더니 평일에 이사하면되지 어거지를 쓰셔서 기분이 나빠져서 글을 올립니다.다른분과 전세 계약을 하신상태인데도 제가 월세부담분에 대한 차액을 지불할 의무가 있는것인자 궁금합니다.,2개월치 줄 필요없습니다.질문자님 나가고 곧바로들어오는데 주인은 손해를 보지않습니다.​단 일찍 나가기 때문 중개수수료는 부담합니다.만약 보증금 주지않는다면 임차권등기명령 한다고하세요.도움이 되었으면 좋겠습니다 ^
월세,"저는 임대인이며, 월세 계약 2년을 했습니다.현 14개월 임차중 임차인이 다음달 이사를 간다고 합니다.부동산에서 금방 집이 나갈거라고 했다는데계약기간 전 이사를 나간다고 한달전 통보 할 경우 중개보수와 세입자가 바로 구해지지 않을 시 어떻게 해야하나요?","부동산 월세 계약을 중간에 해지하는 것은 일반적으로 쉽지 않은 과정입니다. 현실적인 해결 방법에 대해 안내해 드리겠습니다.       먼저, 계약을 종료하고 싶은 임대인의 입장에서 중개보수와 세입자를 구하기 힘들 경우, 몇 가지 옵션이 있습니다.        첫째로, 월세 계약서에 명시된 조항을 확인하시고 계약 해지 시기와 관련된 내용을 확인해보세요. 계약에서 해지 시기에 대한 명시적인 규정이 있을 수 있습니다. 이를 확인하고 해당 기간 내에 통보를 해야 할 수도 있습니다.       둘째로, 임차인과 협의를 시도해 볼 수 있습니다. 다음달로 이사를 간다는 임차인에게 실질적인 이유를 제시하고 월세 계약을 해지하고자 하는 의사를 전달해 보세요. 상호 합의가 이루어지면 계약을 조기에 해지할 수 있습니다.       셋째로, 부동산과의 대화를 시도해 보세요. 부동산에게 상황을 설명하고 조정을 요청할 수 있습니다. 부동산은 계약을 중재하는 역할을 하므로, 해당 상황을 조정할 수 있는 방안을 제시해 줄 수도 있습니다.       마지막으로, 법적인 조언을 받을 필요가 있을 수도 있습니다. 임대인의 권리와 의무를 담당하는 법률 전문가나 부동산 변호사와 상담하여 계약 해지에 대한 법적인 절차와 가능성을 확인하는 것이 좋습니다.​"
월세,안녕하세요월세 부동산 2년 계약 종료일이 다가와서요(집주인 임대인 입니다) 요즘에 아파트 시세가 내려가서요기존에 월세  보증금 5000만원    월세 135 만원 이었습니다변경 1.보증금 1억에  월세 100만원 으로 변경 시  부동산에가서  계약서을 수수료내고 다시 작성을 해야하나요??2. 보증금 5000만원 똑같이  월세만 110으로 변경하면은 부동산에가서 계약서 작성을 안해도 되나요??(2년지나면은  자동연장이 되는걸로 알고있어서요   월세 부분만 달라져서요)질문드립니다,"월세임대차 계약서상의 내용이 상이하게 변동될 경우 통상 최초에 임대차계약서를 작성했던부동산 중개인분에게 부탁을 합니다.다만, 정식수수료를 드리기보단 나름이긴 하나 10만원을 받고서 해주는 경우도 있고때에 따라서 그냥 공짜로 해주시기도 합니다.임대인분하고 이야기를 해보시고, 임대차계약서를 다시 작성하는 편이 그래도 가장 안정하고 확실해 보입니다."
월세,"안녕하세요 제가 월세미납으로 인하여 부동산 계약을 끝내고 보증금을 반환받는일이있었는데요.(보증금1000,월세 120) 일단 상황은 제가 모든 계좌가 보이스피싱 협박범에 당하여 동결되는 상황이생겨서 월세를 납입을 못해 집을 나오게되는 경우가생겼는데 제가 그과정에서 7월까지 납부를 못하면 10월에 보증금을 포기한다는 문자를 남기고 결국 납부하지못해 집을 나오게되었습니다 저는 보증금을 받을 생각이없었지만  그냥 집주인이 월세미납분, 관리비정산금을 빼고 보증금을 정산을 해주셨고 120만원은 자기가 갖는다는 조건으로요.하지만 제가 회사에 제출을 하는과정에서 일단 120도 다 들어와야 한다는 말을 들었고 임대차 계약서에 월세를 못내서 나갈시 보증금에서 미납월세 미납관리비를 제외한 나머지를 반환한다고 되어있는데 제가 보증금 포기문자를 보냈어도 나머지 120을 받을수있는건가요?? 저도 예의상 지금 집주인한테 일단 120을 돌려주시면 말일에 돌려드리겠다라고 했거든요 회사에서 지원받는돈이 있기에 저는 그렇게 할 생각인데 지금 집주인은 절대 안된다고하는데 어떻게 처리를해야할까요?? 절대 받을수 없는 상황인가요 받을수있다면 어떻게 처리를해야할까요.?? 집은 일단 다른 세입자가 들어가있는 상황입니다 제가있을때 집을 이미 내놓으셔서요","이 상황은 변호사만이 해결이 가능할 것 같네요,,법원 앞에 가시면 대한법률구조공단이라는 곳이 있는데 이곳에서 상담하시면 좋은 결과를 찾을수 있을 듯 하네요,,​"
월세,부부 공동명의로 제2주택 월세를 받게 되었습니다.2천이하 월세 소득이면세금신고를 안해봐서 그런데..부부중에 월세 받을때 소득이 많은 사람앞으로 월세금을받는게 유리한건지.소득이 적은 사람 앞으로 월세금을 받는게 세금신고 할때 유리한건지 궁금합니다.세금신고는 둘중에 한명만 하면 되는건가요?,공동명의는 월세수입을 지분비율대로 정산하여 소득세 신고를 하게됩니다.
월세,오늘 오전에 월세계약을 했습니다.부동산과 집을 보고 맘에들어 문자로 집주소와 계좌 이름 받아서 계약금 입금했습니다. 퇴근하고 저녁에 집에와서 해당주소 등본을 떼보니 집주인과 제가입금한계좌명이 이름이 다르길래 부동산에 전화하니  자기가 미처 설명을 못했다면서 집주인은 해외에 살고있고(등기에 나온 집주인주소도 해외)남동생이라는분이 한국에서 관리를 한다고 합니다.(제가 계약금 입금한 계좌주도 남동생이라는 분) 우선 남동생인지 아닌지도 확인이 불가하고 이런저런 특이사항은 내 알바가 아니고 계약금 입금전에 설명받아야 할 부분을 설명듣지 못하였고제가 등기를 떼보지 않았다면 계약서 쓰는날까지 모르고 있다가 이상황을 알게되었을테구요.  추후 잔금과 월세도 남동생이라는 분 계좌로 입금을 해야하고요. 위와같은 이유로 부동산에게 계약파기를 요청하였고 해당 부동산에서는 자기물건이 아니고 공동중개물건이라 공동중개한 부동산에게 얘기하고 내일 답을 주겠다고 합니다. 위 상황같은 상황에서 계약금 환불이 가능할까요?환불을 안해주고 시간만끌면 신고는 어디에 할수있을까요?,시청에 토지보상과있어요.거기에 신고하시면되요.
월세,부동산 통해서 오피스텔 월세 계약했는데 서류를 두장을 주셨는데 하나는 부동산(오피스텔)월세 계약서이고 하나는 주택 임대차 계약 신고서인데 등기소에서 계약 신고서 첨부했더니 임대차계약서가 아니라고 반려당했습니다. 그래서 부동산 월세 계약서를 다시 첨부해서 신청했습니다. 이번엔 확정일자 받을 수 있을까요,네. 가능합니다.
월세,신탁되어있지만 집주인이 완납은 끝낸 신축아파트 월세 계약예정입니다.부동산이 말하길 신축이라 등기가 나오는데 3개월걸려 후에 다 서류로 전환해서 보내줄꺼라는 하는데제가 이계약을 실행할때 임차인으로써 쓸수있는특약이 있을까요?수탁자 ooo토지신탁위탁자겸수익자 oo 주식회사실 집주인 김oo입니다.신탁회사에 직접전화해서 김oo씨가 완납했다는 얘기는 직원에게 들었습니다.계약은 김oo씨와 거래예정이며현재 가계약금 김oo씨한테 5프로 입금된상황입니다.,​이미 완납이 된 신탁물건의 경우 수탁자의 명의에서 수탁자로 명의를 이전하고 이후 임대차계약을 하시는게 가장 깔끔합니다​실상 계약서의 내용에 상당부분은 대부분의 임차인이 특약에 추가해달라고 하는 내용이 기재되어있습니다​중개사무소를 통한 계약이시라면 중개사를 믿고 거래하시면 충분합니다
