구분,질문,답변
전세,부동산전세사기를 당할 줄은 꿈에도 몰랐는데 제가 당했네요.전세계약이 끝나기 6개월전부터 계약연장을 안한다고 의사를 밝혔는데 집주인이 전세금을 돌려주지를 않고 있어요.사업이 망해서 지금 돌려줄 수 있는 전세자금이 없다고 합니다.그래서 부동산전세사기소송하고 싶은데 오래걸릴까요?,전세계약은 집주인이 직접 올리거나 부동산이 맡아서 올릴 수 있습니다. 따라서 다른 집들이 올라오는 것과는 상관없이 전세계약이 올라오지 않은 이유는 부동산이 아직 올리지 않았을 가능성이 있습니다.
전세,최근에 9월 중순쯤 전세계약을 했는데 저희보다 늦게 계약한 집들도 다 호갱노노에 올라오는데 왜 저희집 계약건은 안올라올까요? 심지어 한 부동산(계약한부동산 아님)은 제가 계약한 집을 아직 올려놓고있습니다.요즘 전세사기다뭐다 말이 많아서 혹시나 하는 마음에 문의드립니다.,"계약당사자간 협의에 따라 결정되는 사항입니다. 우선적으로 가장 중요한 것은 등기사항 전부증명서를 열람한 후 이상이 없다면 기존 계약서 여백을 활용하여 변경된 내용을 작성하여도 충분합니다.첫번째, 등기사항 전부증명서를 열람하여 이상이 없는 경우 진행하시기 바랍니다."
전세,"안녕하세요, 현재 해당 집에 2년 계약 및 2년 갱신하여 4년째 살고 있는 세입자 입니다.집주인과의 협의로 향후 전세를 계속 이어서 계약 하려고 하는데요.계약금을 제외하고 기존계약도 그대로고, 매물도, 계약당사자도 똑같은 상황이라,부동산 중개인 통해서 계약려고 하니 수수료가 너무 아깝다는 생각이 듭니다.1) 혹시 이와 같은 상황에서 부동산 계약을 직거래로 하는거에 대해서 어떻게 생각하시는지요?2) 또한, 직거래를 한다면 어떻게 해야 하는지 자세히 좀 알려주세요","계약당사자간 협의에 따라 결정되는 사항입니다. 우선적으로 가장 중요한 것은 등기사항 전부증명서를 열람한 후 이상이 없다면 기존 계약서 여백을 활용하여 변경된 내용을 작성하여도 충분합니다.첫번째, 등기사항 전부증명서를 열람하여 이상이 없는 경우 진행하시기 바랍니다."
전세,"현재 전세로 살고 있는 집을 사정이 생겨 계약기간 보다 일찍 방을 빼게 되었습니다빨리 빠져야 보증금을 받을 수 있어서 당근에 올리려고 합니다근데 집주인은 꼭 부동산을 끼고 해야한다고 하는데 이 부분을 기재하고 당근에 올려도 될까요…,?(당근은 직거래로 알고 있어서요ㅠㅠ)","부동산 전세 사기로 고소를 하고 싶고 해당 전세금을 돌려받고 싶으신 것으로 보입니다.사기죄는 사기죄에 해당하는 행위에 대한 고의와 불법영득의사를 가진 기망행위자가 피기망자를 기망하고 이러한 기망행위에 착오한 피기망자가 이러한 착오로 인한 처분행위를 하여 기망행위자 또는 제3자가 재물을 수령하거나 재산상 이익을 취득한 경우에 성립될 수 있습니다.해당 사안의 구체적인 사실 관계와 관련 사항 등을 바탕으로 구체적인 법적 검토를 통해서 해당 사안으로 부동산 전세 사기 고소로 인한 형사 절차 진행의 가능성, 해당 사안으로 사기죄 등의 성립 가능성 등을 파악할 필요가 있습니다.사기죄 고소를 진행하려고 하신다면, 진실된 사실 관계를 바탕으로 사기죄의 성립 요건과 증거 등을 고려하여 적절히 완성한 고소장을 관할 수사기관에 제출하시는 것이 고소 접수와 형사 절차 진행의 원활에 효과적일 가능성이 높습니다.사기죄의 형사사건의 피고소인 또는 피의자나 피고인으로서는 개별적인 사안과 상황 등에 따라서 형사 처분 또는 형사 처벌을 약화시킬 가능성을 높이기 위하여 고소인 또는 피해자와 합의를 하려고 하거나 고소인 또는 피해자에게 피해 변제를 하려고 할 가능성이 상당히 있습니다.​그런데 상대방에 따라서는 사기죄 피해자 또는 고소인과 합의를 진행하려고 하지 않을 수도 있다는 것을 고려하실 필요가 있습니다.사기죄 고소를 진행하고 나서의 형사 절차 진행 과정에서 고소인 또는 피해자로서 상대방이 어떻게 진행하고 대응 등을 하는지에 관한 사항 등을 고려하면서 개별적인 사안이나 상황 등에 따라서 사실 관계적인 부분, 법리적인 부분, 증거와 증거 법칙적인 부분, 형사 절차와 실무적인 부분, 양형요소와 정상관계적인 부분 등을 고려하여 적절한 진행 및 대응 등이 필요할 수 있습니다.​개별적인 사안이나 상황 등에 따라서는 전세금 반환 청구 소송, 손해배상 청구 소송 등의 민사소송이 필요할 수 있습니다."
전세,부동산전세사기로 고소를 하고 싶습니다. 전세 계약이 끝나서 집을 나가야 하는데 상대방이 전세금을 돌려주지 않습니다. 연락도 안되고 돈이 없다고 합니다. 이런 경우에는 어떻게 해야하나요? 부동산전세사기로 고소 가능한가요? 그리고 처벌은 어떻게 되나요? 전세금은 돌려받을 수 있나요?,"직거래 가능합니다.30일 이내에  주소지의 주민센터에 신고해야 합니다.신고의무는 모두에게 있으나, 한사람이 계약서를 지참해서 신고하면  공동신고로 간주됩니다.​​​​"
전세,제가 자가가 있습니다 방이4 개인데 2개를전세를 놓으려 합니다 전세가는 8천정도 그럴경우부동산 거래 말고 세입자와 집주인이 만나서 직접거래 가능할까요?계약 체결후 집 주인은 세입자와전세계약을 한 내용들을 시나 구청 아님주민센터에 신고를 해야 하나요?전세 계약자만 신고 하나요? 한다면어디에 신고 해야 하나요?,"당사자 끼리 계약서를 써도 되고, 중개업소에서 대필료 5만원 정도 주면서 써도 되겠지요. 그러지요, 상속이 되면 이전등기 없이도 물권변동(소유권)이 일어나는 것이지만 일반인들은 잘 모르기 때문에 이전 등기 후에 하자고 할 수도 있겟지요. 그 집을 계속 이용하려면 계약서를 써야 할 것이고, 보증금을 반환 받으려면 계약서를 쓸 것이 아니라 새 임차인을 구해서 거기서 나오는 보증금을 받아서 나눠야겟지요."
전세,아버지가 돌아가시면서 아버지께서 살고 계시던 집 전세계약금을 형제 둘이서 공동명의로 나누는걸로 합의가 되었습니다 법적으로 공증사무소 가서 공증도 다 썼습니다1. 집 전세 계약서를 집주인과 써야하나요? 부동산가서 같이 쓰는건가요?2. 다른 글을 찾아보니 굳이 명의이전 안해도 상속인이 받아가는걸로 된다던데 꼭 명의 이전 안해도 되나요?3. 집주인과 계약을 다시 해야한다면 어디서 어떻게 진행을 해야할까요..,1순위 아닌 이상 전세금 전액을 회수하는 것은 어려워 보입니다. 이를 예방하기 위하여 전세계약시 부동산 등기부 등본을 꼼꼼히 살펴보아야 하며 그러하지 못하여 1순위를 확보하지 못하고 전세계약을 체결한 경우 그 위험은 오롯이 세입자가 부담하게 됩니다. 전세금을 전부 돌려받을 경우 추가적인 소송은 할 것이 없습니다.
전세,"전세 2년 계약으로 6000만원을 낸 상황입니다. 1월부터 집주인이 연락을 피하고 있어 설마했는데오늘 부동산임의(강제)경매 안내문이 날아았습니다.전입신고와 계약서, 확정일자는 가지고 있어 제출 할 예정이고정확히 1년 지난 계약이기에 순위는 어떻게 될 지 모르겠습니다.카카오뱅크 5400만원 대출중이며 현재 계약은 1년 남았습니다.법원에 서류 제출하라는거 제출 하고 기다려야 하는데..1. 만약 전세금을 전부 못받게 된다면 집주인을 상대로 소송이 가능한가요?소송해서 받을 수 있는 금액이 있나요?2. 전세금을 전부 돌려받는다고 해도 또 다른 소송이 가능한가요? 추가적인 금액을 받는 방법이 있을까요현재 제가 할 수 있는건 권리신고 및 배당요구 신청서 제출 뿐입니다..매매가가 1억인데 전세가 6000이면1순위 아닌이상 기대도 못하겠죠?","임대인에게 이야기 하고, 소유자 정보와 함께 부동산에 제공해서 매물의뢰 하시면 됩니다.​ 임대인 몫의 중개보수만 내시면 됩니다. 새로운 임차인이 들어오면 임대인과 임대차계약을 체결하고, 잔금일에 맞추어서 질문자님은 이사를 나가시면됩니다."
전세,"안녕하세요 저는 현재 오피스텔에 전세로 살고있는 세입자(임차인)입니다. 제가 계약기간 만료 전에 사정이 생겨 중간에 방을 빼야하는 상황이라, 집주인(임대인)과는 연락하여 부동산에 매물을 내놓기로 얘기를 하였습니다.이후 제가 어떻게 진행을해야하는지 몰라 질문드립니다.1. 부동산에 매물을 내놓으려면 어떻게 해야하나요? 전화를 한다던지, 방문을 한다던지, 그리고 제가 계약했던 동일한 조건(전세 1억5천)과 동 호수 를 얘기하면 되는건지 등등2. 복비의 경우 얼마를 언제 부동산에 얘기해야하는지도 궁금합니다. 그리고 복비는 제가 부담하겠다고 했는데 이럴 경우 임대인의 복비만 제가 부담하는것이지요? 새롭게 입주할 세입자의 복비는 제가 부담하는게 아닌게 맞는건가요?3. 새로운 세입자를 찾게되면 그 이후 계약이나 이런 절차는 제가 관여하는게 아닌가요? 부동산에 매물 등록후 임차인인 제가 해야할 일이 있는지 궁금합니다. 매물 등록 이후 전반적인 절차에 대해서 알려주시면 감사하겠습니다(중간에 전세를 빼는 임차인인 제 기준)부동산 거래가 처음이라 모르는게 많아 도움 부탁드립니다... ㅜㅠ","은행 대출 갱신시 갱신계약서가 필요한지 확인하시기 바랍니다.​2),3) 님은 묵시적갱신을 이유로 갱신계약서 작성을 거절할 수 있습니다.     임대인은 갱신계약서 작성을 위해      임차인이 부담해야 할 부동산 비용을 자신이 부담할 수 있습니다.     부동산 비용은 협의사항이라는 의미입니다."
전세,"전세 갱신날짜가 1달조금넘게 남았는데 집주인이 아무연락이없었고, 은행에서 대출 갱신 문자가와서 부동산에 전화해서 갱신계약서 제가 쓰자고 했는데다시생각해보니 묵시갱신이면 계약서를 제가 쓸 이유가 없는거 같기도해서요부동산에 계약서를 꼭써야하나 물으니 집주인이 임대사업자여서 구청에 신고도 해야해 계약서는 무조건 써야한다는데 제 필요에 의해 쓰는게 아니면 계약서 수수료는 집주인이 부담하는게 맞지않나 싶은데 뭐가 맞나요?1.계약서 써야하는 필요성 여부2.계약서작성 부동산 비용 부담관련3.혹시 집주인이 5%올리고자할경우 거절하고 재계약할수있는지","전세로 살고 계신 분께서는 부동산을 증여받을 것이라는 사실을 알려드리는 것이 좋습니다. 또한 부동산 증여와 관련하여 법적 절차나 세금 등에 대한 문제도 함께 협의해보시는 것이 좋습니다. 받으신 전세금은 부동산 증여와 별개의 문제이므로, 아버님이 직접 처리하시는 것이 일반적입니다. 전세금 반환은 전세 계약서에 명시된 조건에 따라 결정되므로, 계약서를 확인하시면 됩니다. 일반적으로 전세금 반환은 세입자가 수행하는 것이나, 전세 계약서에 명시된 조건에 따라 달라질 수 있으므로, 계약서를 확인하시는 것이 좋습니다.​​"
전세,부동산을 아버님께 하나 증여 받을 예정입니다. 현재 저는 무주택 세대주이고 ( 원룸 거주 중 )증여 받을 부동산은 전세로 살고 계신 분이 계십니다.전세 보증금을 제외하고 증여를 받는 부담부 증여가 아닌아파트 시가 인정액 전액을 증여 받을 생각인데 이 경우 Q1 . 전세로 살고 계신 분에게 알려드릴 사항이 있나요?Q2 . 아버님이 받으신 전세금은 어떤 식으로 처리되는지 궁금합니다!Q3 . 전세금 반환을 제가 해야하는지 아버님이 해야하는지요??,"​공인중개사가 누구인지여부만 가지고 사기라고 판단하기 어려우며, 전세계약시 공시되지않는 선순위 임대차보증금이 얼마인지 잘 확인하시고 계약을 진행하시길 권해드립니다.​"
전세,사용승인일 2012년오피스텔에 중기청100 대출로 전세알아보고있는데해당오피스텔 건물에잇는 건물이름딴 공인중개사사무소(예를들어 오피스텔건물이름->홍길동 홍길동 건물1층에 있는 홍길동공인중개사사무소)에서 알아보면 전세사기일 확률이 낮을수도 있을까요?아니면 공인중개사랑 집주인은 다른얘기라 상관없으려나요..,​계약서에 도장찍기 전에 미리 관련 자료들을 모두 지참하고 변호사 상담을 받아 전세사기 의심의 여지가 있는 포인트들을 체크하고 또 체크하는 게 그나마 전세사기를 당하지 않는 방법입니다. 스스로 미리 조심하고 체크하는 것 이외에 사기를 당하지 않는 사실상 다른 방법은 없습니다.
전세,전세 사기 안당하려면 어떻게 해야하나요 전세 알아보는 중인데 사기 당할 까봐요,"요즘은 웬만하면 임대인들도 알아서 국세지방세체납증명서를 갖고 옵니다. 특약에 넣지 않으려고 하니 더 이상하네요이런 경우 임차인은 계약해지를 요구하고 가계약금을 돌려받을수 있는데요법 조항은 아래와 같습니다.​전세계약은 민법 제628조에 따라 임대인이 임차인에게 임대물을 사용, 수익하게 할 것을 약정하고, 임차인은 임대인에게 차임(보증금)을 지급할 것을 약정하는 계약입니다. 따라서, 임대인은 임차인에게 임대물을 제공할 의무가 있고, 임차인은 임대인에게 차임을 지급할 의무가 있습니다.임대인은 임대물을 제공할 의무를 다하기 위해 임대물에 대한 적절한 권리를 가지고 있어야 합니다. 따라서, 임대인의 국세 지방세 납입증명서를 제출하도록 요구하는 것은 임대인의 적절한 권리를 확보하기 위한 합리적인 요구입니다."
전세,"전세계약을 위해 가계약금을 입금했고, 조만간 전세계약서를 써야해서 부동산에 임대인의 국세 지방세 납입증명서 제출을 특약에 넣으려고 하는데 부동산에서 특약으로 넣지 않으려고 하네요.이럴 경우 계약해지하고 가계약금을 돌려 받을 수 있는지 또한 만약 임대인이 거절하면 가계약금을 돌려 받을 수 있는지 궁금합니다. 가계약금 입금시에는 납입증명서 관련해서는 상호 언급이 없었습니다.","선임비용은 보증금액에 따라 300~500만원 될 수 있습니다. 임대인과 부동산중개인에 대하여 계약서 외 당시 상황(속을 수 밖에 없었던 부분)증명 할 수 있는 자료를 정리해주시면 좋습니다. 쉽지 않아보이는 것은 해당 부동산이 이미 경매개시결정으로 절차 진행 중이고 임대인으로 경제적으로 자력으로 변제할 수 있는 상황으로 보이지 않으므로, 당장의 금전 회수는 어렵더라도 이 후 추심을 할 수 있는 판결문(집행권원)확보에 의미를 우선은 두셔야 할 것으로 보입니다.​"
전세,"부동산 전세 사기를 당했습니다.  집주인과 부동산 중개업자가 고의적으로 선순위 보증금을 속였고, 계약서에 명시되어 있습니다. 결국 경매 진행 중인 사건으로 경매낙찰시 순위가 밀려 보증금 반환이 힘든상황입니다. 집주인과 부동산을 상대로 손해배상청구와 보증금 반환소송을 진행할 계획인데 대략적인 금액이 얼마들지, 전문변호사 분들이 계신지 문의합니다.",전세 보증금은 임대인의 결정 사항 입니다​ 집 주인이 이야기 하는 조건으로 내 놓으셔셔 빨리 계약이 되도록 하셔야 비용을 최소화 할수 있습니다​ 수수료는 기존 보증금 기준으로 계산 하시고 차액은 임대인이 내셔야 합니다. 
전세,"[부동산 전세 문의]계약 만료전 이사 안녕하세요. 계약 만료전 이사 관련해서 문의 드립니다.제가 계약 기간이 6개월 남아있는 상황에서 부득히 하게 이사를 가게 되었는데요,원래 계약했던 부동산에만 말을 했고, 해당 부동산에서 집주인에게 말을 했다고 해서 기다리는 중인데,집이 안나가서 얼마전에 다시 물어본 결과 전세금을 3천만원이나 올려서 내놓은 것을 알게 되었습니다.1. 제가 부동산 수수료를 내는 상황에서 원래 계약했던 전세금으로는 내놓으면 안되는 상황인가요?2. 집주인 전담 부동산이 아닌 제가 알아봐서 여러 부동산에 내놓으면 안되나요?3. 집주인이 올린 젠세금으로 집이 나갔을 경우에도 제가 부동산 수수료를 내야하는건가요?이자율 때문에 전세가 가뜩이나 안나가서 불안하네요..ㅠㅠ답변 부탁 드리겠습니다.","갱신 후 계약 해지 의사표시한 이후 3개월이 지나면 그 효력이 발생하므로 그 때 퇴거를 할 때에는 임차인을 새로 구하거나 부동산 수수료를 물 의무가 없어 보입니다. 임대인이 새로운 임차인을 구하지 못해 임차보증금 반환를 못하겠다고 하면 계약 해지 효력일 이후 임차권 등기명령 및 민사소송 진행이 가능합니다. 또한 그 전에 내용증명 등의 방법으로 발생할 구체적인 손해에 관하여 언급할 필요도 있습니다."
